Date,Time,Open
4/19/2021,12:00:00|56191.58594
4/20/2021,12:00:00|55681.79297
4/21/2021,12:00:00|56471.12891
4/22/2021,12:00:00|53857.10547
4/23/2021,12:00:00|51739.80859
4/24/2021,12:00:00|51143.22656
4/25/2021,12:00:00|50052.83203
4/26/2021,12:00:00|49077.79297
4/27/2021,12:00:00|54030.30469
4/28/2021,12:00:00|55036.63672
4/29/2021,12:00:00|54858.08984
4/30/2021,12:00:00|53568.66406
5/1/2021,12:00:00|57714.66406
5/2/2021,12:00:00|57825.86328
5/3/2021,12:00:00|56620.27344
5/4/2021,12:00:00|57214.17969
5/5/2021,12:00:00|53252.16406
5/6/2021,12:00:00|57441.30859
5/7/2021,12:00:00|56413.95313
5/8/2021,12:00:00|57352.76563
5/9/2021,12:00:00|58877.39063
5/10/2021,12:00:00|58250.87109
5/11/2021,12:00:00|55847.24219
5/12/2021,12:00:00|56714.53125
5/13/2021,12:00:00|49735.43359
5/14/2021,12:00:00|49682.98047
5/15/2021,12:00:00|49855.49609
5/16/2021,12:00:00|46716.63672
5/17/2021,12:00:00|46415.89844
5/18/2021,12:00:00|43488.05859
5/19/2021,12:00:00|42944.97656
5/20/2021,12:00:00|36753.66797
5/21/2021,12:00:00|40596.94922
5/22/2021,12:00:00|37371.03125
5/23/2021,12:00:00|37531.44922
5/24/2021,12:00:00|34700.36328
5/25/2021,12:00:00|38795.78125
5/26/2021,12:00:00|38392.625
5/27/2021,12:00:00|39316.89063
5/28/2021,12:00:00|38507.08203
5/29/2021,12:00:00|35684.15625
5/30/2021,12:00:00|34607.40625
5/31/2021,12:00:00|35658.59375
6/1/2021,12:00:00|37293.79297
6/2/2021,12:00:00|36699.92188
6/3/2021,12:00:00|37599.41016
6/4/2021,12:00:00|39242.48438
6/5/2021,12:00:00|36880.15625
6/6/2021,12:00:00|35538.60938
6/7/2021,12:00:00|35835.26563
6/8/2021,12:00:00|33589.51953
6/9/2021,12:00:00|33416.97656
6/10/2021,12:00:00|37389.51563
6/11/2021,12:00:00|36697.03125
6/12/2021,12:00:00|37340.14453
6/13/2021,12:00:00|35555.78906
6/14/2021,12:00:00|39016.96875
6/15/2021,12:00:00|40427.16797
6/16/2021,12:00:00|40168.69141
6/17/2021,12:00:00|38341.42188
